stamp,gnss_x,gnss_y,gnss_z,gnss_roll,gnss_pitch,gnss_yaw,gnss_map_vx,gnss_map_vy,gnss_map_vz,gnss_base_vx,gnss_base_vy,gnss_base_vz,gnss_status,gnss_fsm_status,gnss_original_status
1716182181.528690,1160.281976,565.098501,-0.007371,0.019915,-0.002994,0.002904,3.268563,0.002902,-0.040100,3.268670,0.016586,0.025315,1,0,1
1716182181.728679,1160.899530,565.093527,-0.012078,0.018091,-0.001326,0.003012,3.009739,-0.015752,-0.006800,3.009213,-0.002759,0.058768,1,0,1
1716182181.928670,1161.479305,565.092161,-0.008738,0.018096,-0.003493,0.004213,2.795363,-0.083412,-0.074100,2.796498,-0.076017,-0.017935,1,0,1
1716182182.128670,1162.017748,565.089984,-0.007444,0.019520,-0.003249,0.003704,2.577978,0.070540,-0.039000,2.578002,0.079118,0.010651,1,0,1
1716182182.328663,1162.503647,565.090381,-0.011586,0.018056,-0.001673,0.003164,2.355647,0.075463,0.079800,2.353092,0.086768,0.128696,1,0,1
1716182182.528660,1162.946686,565.092752,-0.007775,0.017927,-0.004248,0.002159,2.126352,0.058482,-0.068500,2.126959,0.068221,-0.029646,1,0,1
1716182182.728651,1163.345291,565.093454,-0.012015,0.015421,-0.003403,0.002912,1.928160,0.000109,-0.063200,1.929013,0.007682,-0.025382,1,0,1
1716182182.928645,1163.703675,565.093928,-0.012444,0.015687,-0.002921,0.002272,1.736467,-0.013733,0.033200,1.735491,-0.004404,0.068267,1,0,1
1716182183.128691,1164.026733,565.093999,-0.010688,0.017654,-0.002564,0.001721,1.506963,-0.010181,0.012000,1.506432,-0.001491,0.042961,1,0,1
1716182183.328681,1164.311063,565.091187,-0.010204,0.016364,-0.003861,0.001780,1.296995,0.002781,-0.006400,1.296846,0.009875,0.018369,1,0,1
1716182183.528691,1164.553283,565.090049,-0.012045,0.015445,-0.003365,0.002266,1.151672,-0.023606,-0.005600,1.151658,-0.017844,0.017375,1,0,1
1716182183.728681,1164.777329,565.086513,-0.011503,0.016637,-0.002809,0.001815,1.096729,-0.025639,0.007900,1.096462,-0.019439,0.030459,0,0,0
1716182183.928668,1165.003498,565.085409,-0.011197,0.015910,-0.003562,0.001889,1.190344,-0.022075,0.029700,1.189635,-0.015120,0.053170,0,0,0
1716182184.128668,1165.247512,565.084405,-0.012278,0.015260,-0.003355,0.002139,1.225435,-0.016825,-0.026700,1.225791,-0.010852,-0.002368,0,0,0
1716182184.328665,1165.492721,565.087361,-0.010109,0.018207,-0.002518,0.002026,1.190456,-0.024917,0.012700,1.190052,-0.018349,0.037530,0,0,0
1716182184.528654,1165.738027,565.095932,-0.009919,0.017910,-0.002867,0.001566,1.206668,-0.004566,0.029800,1.205826,0.002933,0.054153,0,0,0
