stamp,optimized_pose_x,optimized_pose_y,optimized_pose_yaw
1716052599.299720,884.071320,514.958421,0.975758
1716052599.499753,884.221327,515.203176,0.929536
1716052599.699764,884.459717,515.511497,0.930100
1716052599.899800,884.884767,515.860531,0.889447
1716073142.899644,896.876928,492.335138,-3.124683
1716073143.099654,896.213605,492.324365,-3.114097
1716073143.299667,895.603770,492.404612,-3.111549
1716073143.399681,895.353378,492.304070,-3.137142
1716073143.599753,894.835965,492.344963,-3.132972
1716073143.799782,894.327116,492.326458,-3.126684
1716073143.999766,893.763983,492.338871,-3.141502
1716073144.199777,893.244659,492.372978,-3.136703
1716073144.399752,892.746828,492.358965,-3.137950
1716073144.599703,892.272568,492.392154,3.133741
1716073144.799670,891.830453,492.414986,3.108872
1716073144.999643,891.408282,492.462724,3.082891
1716073145.199662,890.970054,492.490525,3.067866
1716073145.399654,890.647416,492.543279,3.017542
1716073145.499629,890.452465,492.582067,2.999258
1716073145.699632,890.100089,492.636212,2.961690
1716073145.899636,889.760471,492.709405,2.914150
1716073146.099664,889.390763,492.814185,2.884263
1716073146.299714,889.058547,492.904281,2.839804
1716073146.499751,888.522072,493.031386,2.820844
1716073146.699741,888.201927,493.188133,2.774974
1716073146.899748,887.858717,493.347941,2.747513
1716073147.099750,887.531464,493.530613,2.705421
1716073147.299752,887.215066,493.714775,2.672733
1716073147.499723,886.892082,493.915011,2.632414
1716073147.599714,886.640019,494.023421,2.631367
1716073147.799664,886.300079,494.238143,2.579911
1716073147.999668,886.039183,494.427912,2.543693
1716073148.199734,885.706794,494.623536,2.478016
1716073148.399768,885.370452,494.876600,2.477177
1716073148.599769,885.068606,495.129486,2.445917
1716073148.799703,884.754884,495.378603,2.406204
1716073148.999654,884.454197,495.578373,2.377709
1716073149.199653,884.150860,495.904311,2.340379
1716073149.399656,883.974839,496.248112,2.313549
1716073149.599686,883.669407,496.556858,2.239775
1716073149.699692,883.588845,496.751078,2.250954
1716073149.899705,883.323381,497.073744,2.228137
1716073150.099687,883.123111,497.382298,2.154928
1716073150.299692,882.890406,497.732016,2.143357
1716073150.499697,882.702598,498.073850,2.119914
1716073150.699699,882.492489,498.438119,2.085488
1716073150.899725,882.266264,498.810378,2.052243
1716073151.099759,882.129582,499.109134,2.047277
1716073151.299757,881.978162,499.464662,1.954741
1716073151.499744,881.728657,499.810346,1.961594
1716073151.699733,881.620779,500.203916,1.942553
1716073151.799722,881.523646,500.390470,1.890773
1716073151.999692,881.407117,500.637730,1.877411
1716073152.199687,881.268578,500.950686,1.843903
